date,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,year,month,day,hour
2017-03-02 14:00:00,140000,2058.36,2060.86,2045.74,2049.79,3884480752,2017,3,2,14
2017-03-02 15:00:00,150000,2049.77,2051.54,2044.25,2050.27,3564738866,2017,3,2,15
2017-03-02 16:00:00,160000,2050.27,2055.13,2048.05,2050.25,2765696933,2017,3,2,16
2017-03-02 17:00:00,170000,2050.29,2069.98,2048.74,2068.91,4153113850,2017,3,2,17
2017-03-02 18:00:00,180000,2069.26,2069.56,2050.06,2054.34,4811349349,2017,3,2,18
2017-03-02 19:00:00,190000,2054.45,2056.63,2048.47,2049.0,4919723520,2017,3,2,19
2017-03-03 11:00:00,110000,2046.61,2046.61,2032.27,2038.83,5200247634,2017,3,3,11
2017-03-03 12:00:00,120000,2038.83,2052.61,2038.25,2047.99,5454279436,2017,3,3,12
2017-03-03 13:00:00,130000,2047.87,2048.84,2038.59,2038.85,2962628345,2017,3,3,13
2017-03-03 14:00:00,140000,2038.83,2040.34,2034.1,2037.36,2629771243,2017,3,3,14
2017-03-03 15:00:00,150000,2037.08,2047.98,2036.65,2045.73,1649253276,2017,3,3,15
2017-03-03 16:00:00,160000,2045.58,2050.65,2045.57,2048.94,2372250311,2017,3,3,16
2017-03-03 17:00:00,170000,2048.96,2053.35,2045.68,2049.33,3347022663,2017,3,3,17
2017-03-03 18:00:00,180000,2049.3,2052.8,2045.3,2052.67,2802625234,2017,3,3,18
2017-03-03 19:00:00,190000,2052.56,2056.89,2049.37,2056.89,5044536149,2017,3,3,19
2017-03-06 11:00:00,110000,2056.63,2071.69,2055.39,2058.7,4387050130,2017,3,6,11
2017-03-06 12:00:00,120000,2058.72,2063.7,2053.06,2057.13,3418649035,2017,3,6,12
2017-03-06 13:00:00,130000,2057.17,2063.98,2052.39,2062.75,3262002951,2017,3,6,13
2017-03-06 14:00:00,140000,2062.74,2066.03,2060.86,2062.06,2050584694,2017,3,6,14
2017-03-06 15:00:00,150000,2062.06,2064.93,2060.67,2064.1,1573847782,2017,3,6,15
2017-03-06 16:00:00,160000,2064.22,2065.53,2057.64,2058.33,2071529358,2017,3,6,16
2017-03-06 17:00:00,170000,2058.24,2058.24,2051.41,2053.54,2861511686,2017,3,6,17
2017-03-06 18:00:00,180000,2053.55,2055.39,2049.11,2051.16,1942743871,2017,3,6,18
2017-03-06 19:00:00,190000,2051.15,2051.74,2045.28,2047.42,5272398159,2017,3,6,19
2017-03-07 11:00:00,110000,2047.59,2048.98,2037.71,2042.68,3378614949,2017,3,7,11
2017-03-07 12:00:00,120000,2042.79,2046.98,2034.65,2036.08,4754046650,2017,3,7,12
2017-03-07 13:00:00,130000,2036.05,2036.57,2024.76,2026.28,5260543248,2017,3,7,13
2017-03-07 14:00:00,140000,2026.29,2026.82,2015.16,2016.03,3787627999,2017,3,7,14
2017-03-07 15:00:00,150000,2015.98,2020.39,2011.23,2013.19,3753437176,2017,3,7,15
2017-03-07 16:00:00,160000,2013.03,2016.22,2011.03,2011.8,2099147728,2017,3,7,16
2017-03-07 17:00:00,170000,2011.8,2019.11,2009.0,2018.82,2750267206,2017,3,7,17
2017-03-07 18:00:00,180000,2018.81,2019.82,2013.02,2014.23,3265488086,2017,3,7,18
2017-03-07 19:00:00,190000,2014.38,2024.84,2014.27,2024.84,5551754908,2017,3,7,19
2017-03-09 11:00:00,110000,2010.85,2018.46,1994.89,2018.46,6775804685,2017,3,9,11
2017-03-09 12:00:00,120000,2018.42,2020.04,1994.47,2001.15,8698824683,2017,3,9,12
2017-03-09 13:00:00,130000,2001.07,2002.91,1991.0,1995.28,6028144737,2017,3,9,13
2017-03-09 14:00:00,140000,1995.0,1996.69,1985.36,1987.64,5647835969,2017,3,9,14
2017-03-09 15:00:00,150000,1987.53,1993.06,1982.49,1986.34,5794032118,2017,3,9,15
2017-03-09 16:00:00,160000,1986.08,1989.65,1975.78,1976.83,5017900374,2017,3,9,16
2017-03-09 17:00:00,170000,1976.88,1981.6,1973.3,1979.73,5251452285,2017,3,9,17
2017-03-09 18:00:00,180000,1979.72,1984.48,1975.41,1976.58,6544328448,2017,3,9,18
2017-03-09 19:00:00,190000,1976.55,1980.96,1971.73,1974.24,6611344058,2017,3,9,19
2017-03-10 11:00:00,110000,1977.75,1984.58,1965.23,1978.25,8872668349,2017,3,10,11
2017-03-10 12:00:00,120000,1978.34,1989.06,1978.24,1982.52,6426989513,2017,3,10,12
2017-03-10 13:00:00,130000,1982.45,1987.24,1977.42,1981.47,4229028792,2017,3,10,13
2017-03-10 14:00:00,140000,1981.46,1983.22,1972.08,1977.54,4086270680,2017,3,10,14
2017-03-10 15:00:00,150000,1977.54,1978.92,1974.67,1976.59,1780392225,2017,3,10,15
2017-03-10 16:00:00,160000,1976.56,1983.67,1974.38,1982.34,2486379116,2017,3,10,16
2017-03-10 17:00:00,170000,1982.28,1987.62,1978.74,1982.96,4040520996,2017,3,10,17
2017-03-10 18:00:00,180000,1982.95,1982.95,1972.17,1975.75,3652812524,2017,3,10,18
2017-03-10 19:00:00,190000,1975.62,1977.16,1972.17,1973.96,3259495421,2017,3,10,19
2017-03-13 11:00:00,110000,1972.66,1980.11,1968.61,1973.77,4544104870,2017,3,13,11
2017-03-13 12:00:00,120000,1973.81,1992.85,1972.71,1989.16,5133324806,2017,3,13,12
2017-03-13 13:00:00,130000,1989.06,1994.74,1986.47,1991.06,2913612396,2017,3,13,13
2017-03-13 14:00:00,140000,1991.02,1997.69,1991.02,1994.14,2631797121,2017,3,13,14
2017-03-13 15:00:00,150000,1994.09,1998.82,1991.92,1996.32,1891110767,2017,3,13,15
2017-03-13 16:00:00,160000,1996.31,2000.22,1995.87,1999.91,1968895648,2017,3,13,16
2017-03-13 17:00:00,170000,2000.66,2001.19,1997.17,1998.17,2852672794,2017,3,13,17
2017-03-13 18:00:00,180000,1997.98,2001.71,1997.15,1999.68,2137651559,2017,3,13,18
2017-03-13 19:00:00,190000,1999.6,2000.83,1998.33,2000.14,3244608908,2017,3,13,19
2017-03-14 11:00:00,110000,2001.4,2018.42,1999.55,2017.93,4818024432,2017,3,14,11
2017-03-14 12:00:00,120000,2017.82,2018.01,2011.41,2017.15,4547489438,2017,3,14,12
2017-03-14 13:00:00,130000,2017.16,2018.1,2009.3,2013.95,2428398875,2017,3,14,13
2017-03-14 14:00:00,140000,2013.85,2015.42,2008.86,2012.65,2065208903,2017,3,14,14
2017-03-14 15:00:00,150000,2012.73,2016.07,2004.74,2005.92,3504033780,2017,3,14,15
2017-03-14 16:00:00,160000,2005.81,2006.5,1990.55,1995.65,5780590989,2017,3,14,16
2017-03-14 17:00:00,170000,1995.71,2003.27,1994.83,2001.74,2870628911,2017,3,14,17
2017-03-14 18:00:00,180000,2001.79,2001.88,1994.53,1999.25,3010886114,2017,3,14,18
2017-03-14 19:00:00,190000,1999.23,2005.58,1995.68,2001.25,4683584236,2017,3,14,19
2017-03-15 11:00:00,110000,2003.09,2018.39,2003.09,2012.57,3571613759,2017,3,15,11
2017-03-15 12:00:00,120000,2012.56,2015.53,2004.67,2004.67,4001150641,2017,3,15,12
2017-03-15 13:00:00,130000,2004.69,2009.66,2000.48,2001.7,3111884857,2017,3,15,13
2017-03-15 14:00:00,140000,2001.77,2001.82,1992.18,1996.55,2689802208,2017,3,15,14
2017-03-15 15:00:00,150000,1996.55,1998.76,1993.54,1995.14,2041393558,2017,3,15,15
2017-03-15 16:00:00,160000,1995.34,1998.56,1993.43,1993.61,2903084359,2017,3,15,16
2017-03-15 17:00:00,170000,1993.94,1997.01,1989.12,1994.75,3544282822,2017,3,15,17
2017-03-15 18:00:00,180000,1994.71,2002.02,1994.26,1998.89,3013982740,2017,3,15,18
2017-03-15 19:00:00,190000,1998.96,1999.04,1992.59,1992.59,3256915231,2017,3,15,19
2017-03-16 11:00:00,110000,2001.82,2019.36,2001.82,2016.02,6160441435,2017,3,16,11
2017-03-16 12:00:00,120000,2016.03,2021.05,2008.22,2012.65,6327762616,2017,3,16,12
2017-03-16 13:00:00,130000,2012.64,2015.89,2008.28,2015.12,3795738535,2017,3,16,13
2017-03-16 14:00:00,140000,2015.12,2017.14,2010.61,2012.95,3126912359,2017,3,16,14
2017-03-16 15:00:00,150000,2012.87,2015.86,2009.86,2010.28,2705406730,2017,3,16,15
2017-03-16 16:00:00,160000,2010.17,2010.68,1998.24,2001.48,13545805356,2017,3,16,16
2017-03-16 17:00:00,170000,2001.28,2015.33,2001.09,2015.03,3319211651,2017,3,16,17
2017-03-16 18:00:00,180000,2015.06,2016.28,2006.27,2015.15,4857999614,2017,3,16,18
2017-03-16 19:00:00,190000,2015.15,2015.15,2011.71,2014.37,5782974613,2017,3,16,19
2017-03-17 11:00:00,110000,2015.59,2024.14,2013.82,2020.83,3787358463,2017,3,17,11
2017-03-17 12:00:00,120000,2020.96,2025.24,2017.79,2022.73,3180277552,2017,3,17,12
2017-03-17 13:00:00,130000,2022.74,2042.21,2020.4,2039.59,6847127062,2017,3,17,13
2017-03-17 14:00:00,140000,2039.57,2040.47,2034.92,2038.33,3317946378,2017,3,17,14
2017-03-17 15:00:00,150000,2038.27,2045.85,2036.3,2041.09,3319366090,2017,3,17,15
2017-03-17 16:00:00,160000,2041.18,2045.0,2040.69,2042.01,2918322552,2017,3,17,16
2017-03-17 17:00:00,170000,2042.18,2042.89,2033.63,2034.35,2985391783,2017,3,17,17
2017-03-17 18:00:00,180000,2034.34,2034.56,2028.26,2028.94,3950456688,2017,3,17,18
2017-03-17 19:00:00,190000,2028.95,2036.96,2026.7,2036.96,7688246232,2017,3,17,19
2017-03-20 11:00:00,110000,2038.99,2049.1,2032.0,2045.69,4641885117,2017,3,20,11
2017-03-20 12:00:00,120000,2045.46,2051.5,2037.33,2039.41,5362908021,2017,3,20,12
2017-03-20 13:00:00,130000,2039.21,2040.79,2028.98,2029.55,3300253063,2017,3,20,13
2017-03-20 14:00:00,140000,2029.56,2033.21,2024.85,2028.29,2441643540,2017,3,20,14
2017-03-20 15:00:00,150000,2028.3,2034.55,2027.4,2032.34,1994659121,2017,3,20,15
2017-03-20 16:00:00,160000,2032.36,2032.87,2025.01,2029.14,2555247023,2017,3,20,16
2017-03-20 17:00:00,170000,2029.15,2039.18,2027.85,2037.33,3206960175,2017,3,20,17
2017-03-20 18:00:00,180000,2037.31,2043.57,2035.2,2039.79,3585734034,2017,3,20,18
2017-03-20 19:00:00,190000,2039.84,2042.72,2036.93,2042.72,3650500766,2017,3,20,19
2017-03-21 11:00:00,110000,2045.19,2056.98,2043.86,2055.79,3968590700,2017,3,21,11
2017-03-21 12:00:00,120000,2055.81,2058.12,2050.5,2054.42,4293895791,2017,3,21,12
2017-03-21 13:00:00,130000,2054.42,2056.08,2040.55,2044.94,3798405847,2017,3,21,13
2017-03-21 14:00:00,140000,2044.82,2053.78,2044.73,2051.16,1888196706,2017,3,21,14
2017-03-21 15:00:00,150000,2051.16,2059.31,2050.12,2054.88,3497420807,2017,3,21,15
2017-03-21 16:00:00,160000,2054.91,2057.9,2052.72,2055.52,2331323758,2017,3,21,16
2017-03-21 17:00:00,170000,2055.52,2067.4,2054.82,2065.97,4336262605,2017,3,21,17
2017-03-21 18:00:00,180000,2065.95,2066.58,2051.15,2051.69,3987418663,2017,3,21,18
2017-03-21 19:00:00,190000,2051.66,2052.3,2041.64,2048.07,6552008385,2017,3,21,19
2017-03-22 11:00:00,110000,2042.65,2042.65,2030.55,2033.9,6308029213,2017,3,22,11
2017-03-22 12:00:00,120000,2033.53,2040.08,2030.81,2033.18,4373856940,2017,3,22,12
2017-03-22 13:00:00,130000,2033.1,2039.15,2032.25,2037.55,3528432534,2017,3,22,13
2017-03-22 14:00:00,140000,2037.55,2040.2,2034.61,2039.84,2006590808,2017,3,22,14
2017-03-22 15:00:00,150000,2039.75,2044.68,2038.99,2039.34,2585258589,2017,3,22,15
2017-03-22 16:00:00,160000,2039.52,2043.2,2034.17,2042.12,2303443536,2017,3,22,16
2017-03-22 17:00:00,170000,2042.24,2048.06,2039.39,2045.52,3705383847,2017,3,22,17
2017-03-22 18:00:00,180000,2045.43,2048.33,2038.94,2048.23,4838596512,2017,3,22,18
2017-03-22 19:00:00,190000,2048.24,2061.53,2046.56,2061.53,7392271249,2017,3,22,19
2017-03-23 11:00:00,110000,2065.37,2072.91,2058.93,2059.41,6090704212,2017,3,23,11
2017-03-23 12:00:00,120000,2059.45,2065.54,2055.47,2055.98,4656898274,2017,3,23,12
2017-03-23 13:00:00,130000,2055.91,2061.77,2055.7,2061.68,2947132399,2017,3,23,13
2017-03-23 14:00:00,140000,2061.68,2062.57,2053.39,2055.35,2710999434,2017,3,23,14
2017-03-23 15:00:00,150000,2055.34,2057.86,2043.83,2046.18,3839948430,2017,3,23,15
2017-03-23 16:00:00,160000,2046.36,2048.65,2040.18,2043.83,2420393902,2017,3,23,16
2017-03-23 17:00:00,170000,2043.61,2047.08,2041.59,2041.7,2458506675,2017,3,23,17
2017-03-23 18:00:00,180000,2041.91,2046.79,2040.5,2046.33,3305845677,2017,3,23,18
2017-03-23 19:00:00,190000,2046.25,2052.17,2046.16,2051.04,3848029610,2017,3,23,19
